iz,z,logMh_center,median_eff,p16,p84
iz100,,13.699999999999983,nan,nan,nan
iz100,,13.899999999999983,nan,nan,nan
iz105,,9.1,nan,nan,nan
iz105,,9.299999999999999,0.00042455585207790136,7.90884270099923e-05,0.0012894108565524218
iz105,,9.499999999999998,0.0006790521438233554,0.00011251370975514874,0.00199188788421452
iz105,,9.699999999999998,0.0012569548562169075,0.000421739547746256,0.0031069838628172866
iz105,,9.899999999999997,0.00208966713398695,0.0006882501253858209,0.00504076661542058
iz105,,10.099999999999996,0.0030263038352131844,0.0011007149051874877,0.0072662955895066265
iz105,,10.299999999999995,0.00512700667604804,0.001754897409118712,0.012771956585347652
iz105,,10.499999999999995,0.008310090750455856,0.0026530917175114155,0.022219346314668657
iz105,,10.699999999999994,0.016120631247758865,0.005263005234301091,0.04394513219594955
iz105,,10.899999999999993,0.02661988139152527,0.00888469997793436,0.06952526301145553
iz105,,11.099999999999993,0.048139188438653946,0.017050522789359094,0.1162668964266778
iz105,,11.299999999999992,0.06455042213201523,0.022021715342998505,0.1808179944753647
iz105,,11.499999999999991,0.12152357399463654,0.032128517329692845,0.290811812877655
iz105,,11.69999999999999,0.1408831924200058,0.04293682903051376,0.2913334918022155
iz105,,11.89999999999999,0.08823157846927643,0.028494064882397654,0.17620621919631957
iz105,,12.099999999999989,0.07480104267597198,0.029143045991659164,0.10662709712982178
iz105,,12.299999999999988,0.04187861457467079,0.012677032351493835,0.0684582720696926
iz105,,12.499999999999988,0.03443580120801926,0.03346224591135979,0.035409360229969024
iz105,,12.699999999999987,nan,nan,nan
iz105,,12.899999999999986,nan,nan,nan
iz105,,13.099999999999985,nan,nan,nan
iz105,,13.299999999999985,nan,nan,nan
iz105,,13.499999999999984,nan,nan,nan
iz105,,13.699999999999983,nan,nan,nan
iz105,,13.899999999999983,nan,nan,nan
iz120,,9.1,nan,nan,nan
iz120,,9.299999999999999,0.00046480156015604734,8.662955660838634e-05,0.0013924251031130553
iz120,,9.499999999999998,0.0007538755307905376,0.0001408240298042074,0.0022704550251364695
iz120,,9.699999999999998,0.0014576151734218001,0.0004995769751258194,0.003567268438637257
iz120,,9.899999999999997,0.0024318471550941467,0.0008765484439209104,0.00568287456408143
iz120,,10.099999999999996,0.0034516234882175922,0.0013178589055314663,0.008165894262492656
iz120,,10.299999999999995,0.005516686476767063,0.002019889233633876,0.01346732135862112
iz120,,10.499999999999995,0.008273348212242126,0.002878436706960201,0.02137208521366117
iz120,,10.699999999999994,0.014728199690580368,0.005195175278931856,0.04075758248567581
iz120,,10.899999999999993,0.026752647012472153,0.008313914611935617,0.07508432239294052
iz120,,11.099999999999993,0.04380309209227562,0.015178362391889093,0.12028568446636198
iz120,,11.299999999999992,0.062438324093818665,0.01965643271803856,0.18561808288097378
iz120,,11.499999999999991,0.0931895524263382,0.024352991431951528,0.30497238039970387
iz120,,11.69999999999999,0.10104990750551224,0.027981927245855333,0.25905630588531486
iz120,,11.89999999999999,0.09389452636241913,0.026772304922342307,0.2186520093679428
iz120,,12.099999999999989,0.0774155780673027,0.02641644820570946,0.14739882886409758
iz120,,12.299999999999988,0.04398578777909279,0.017970379665493964,0.091300827562809
iz120,,12.499999999999988,0.0376712903380394,0.013148475363850595,0.062225078046321866
iz120,,12.699999999999987,0.02915266901254654,0.00819350054487586,0.04093826353549957
iz120,,12.899999999999986,0.014688169583678246,0.0009254050301387906,0.03144133433699607
iz120,,13.099999999999985,nan,nan,nan
iz120,,13.299999999999985,nan,nan,nan
iz120,,13.499999999999984,nan,nan,nan
iz120,,13.699999999999983,nan,nan,nan
iz120,,13.899999999999983,nan,nan,nan
iz142,,9.1,nan,nan,nan
