iz,n_ivols,n_gal,r,r_min,r_max,dd
271,4,285889,3.018647588776161,2.7760090990142356,3.2441299178297704,49096
271,4,285889,3.528920738580425,3.2441299178297704,3.7911903557864473,72456
271,4,285889,4.12294585827223,3.7911903557864473,4.430502069233829,106002
271,4,285889,4.817822608770332,4.430502069233829,5.177621470661636,159550
271,4,285889,5.632497512455026,5.177621470661636,6.050728263871968,239518
271,4,285889,6.584018826832553,6.050728263871968,7.071067811865475,363816
271,4,285889,7.694321674479171,7.071067811865475,8.263468101607344,553286
271,4,285889,8.99350024202796,8.263468101607344,9.656943885009541,851296
271,4,285889,10.509279463245635,9.656943885009541,11.285402696730158,1313206
271,4,285889,12.281907934565412,11.285402696730158,13.188469928365798,2039184
271,4,285889,14.353469021840455,13.188469928365798,15.412453035619656,3177366
271,4,285889,16.775912573149697,15.412453035619656,18.011468340559496,4976768
271,4,285889,19.605574012535918,18.011468340559496,21.04875784751639,7820848
271,4,285889,22.91221758395711,21.04875784751639,24.598228114789016,12328944
271,4,285889,26.77679863065766,24.598228114789016,28.746248627616342,19514500
271,4,285889,31.293052681172373,28.746248627616342,33.59375343234238,30893844
271,4,285889,36.57055896377774,33.59375343234238,39.25869717097048,49056774
271,4,285889,42.73853403360064,39.25869717097048,45.87892527895176,77984938
271,4,285889,49.94608773329285,45.87892527895176,53.61552818691274,124127134
271,4,285889,58.36925134390772,53.61552818691274,62.65676114432542,197833562
271,4,285889,68.21245567378402,62.65676114432542,73.22262504643817,315492364
271,4,285889,79.71442299252422,73.22262504643817,85.57021973001949,503224474
271,4,285889,93.15801056612997,85.57021973001949,100.0,802381968
271,8,573140,0.5434516761490525,0.5,0.584315433076528,4368
271,8,573140,0.6353201187315433,0.584315433076528,0.682849050662821,5852
271,8,573140,0.7408410980614276,0.682849050662821,0.7979984775278846,8452
271,8,573140,0.8680105719374542,0.7979984775278846,0.9325656519822317,12002
271,8,573140,1.0134320027803179,0.9325656519822317,1.089825005620585,16426
271,8,573140,1.1837465531243903,1.089825005620585,1.2736031402736432,23828
271,8,573140,1.3840314286304798,1.2736031402736432,1.4883719409532399,32740
271,8,573140,1.6172219783345958,1.4883719409532399,1.73935739051409,47250
271,8,573140,1.8903137735236957,1.73935739051409,2.0326667338262,66332
271,8,573140,2.2101390797377194,2.0326667338262,2.3754370857518157,94540
271,8,573140,2.58317249495433,2.3754370857518157,2.7760090990142356,136860
271,8,573140,3.018464246240729,2.7760090990142356,3.2441299178297704,197668
271,8,573140,3.528612198181281,3.2441299178297704,3.7911903557864473,289552
271,8,573140,4.123444726002563,3.7911903557864473,4.430502069233829,427262
271,8,573140,4.819284544116844,4.430502069233829,5.177621470661636,641206
271,8,573140,5.632939713797797,5.177621470661636,6.050728263871968,962856
271,8,573140,6.583112556099739,6.050728263871968,7.071067811865475,1457102
271,8,573140,7.693842062882655,7.071067811865475,8.263468101607344,2223814
271,8,573140,8.992432194529856,8.263468101607344,9.656943885009541,3417220
271,8,573140,10.509144218322618,9.656943885009541,11.285402696730158,5273296
271,8,573140,12.282042224659824,11.285402696730158,13.188469928365798,8186466
271,8,573140,14.353786495911958,13.188469928365798,15.412453035619656,12770644
271,8,573140,16.775816046921552,15.412453035619656,18.011468340559496,19990750
271,8,573140,19.605457250069545,18.011468340559496,21.04875784751639,31436132
271,8,573140,22.9121790079763,21.04875784751639,24.598228114789016,49552538
271,8,573140,26.776584831122182,24.598228114789016,28.746248627616342,78373808
271,8,573140,31.292938844958424,28.746248627616342,33.59375343234238,124178374
271,8,573140,36.57050686572701,33.59375343234238,39.25869717097048,197063292
271,8,573140,42.738422727343114,39.25869717097048,45.87892527895176,313390458
271,8,573140,49.946303543348165,45.87892527895176,53.61552818691274,498960188
271,8,573140,58.36911248289067,53.61552818691274,62.65676114432542,795308984
271,8,573140,68.21249745567519,62.65676114432542,73.22262504643817,1268182692
271,8,573140,79.71446109710902,73.22262504643817,85.57021973001949,2022258354
271,8,573140,93.15850146584853,85.57021973001949,100.0,3224944302
271,20,1431334,0.5436714141172848,0.5,0.584315433076528,26412
271,20,1431334,0.6350066650659382,0.584315433076528,0.682849050662821,37472
271,20,1431334,0.741753304799822,0.682849050662821,0.7979984775278846,53152
271,20,1431334,0.8672228459197259,0.7979984775278846,0.9325656519822317,73704
271,20,1431334,1.0135554777087046,0.9325656519822317,1.089825005620585,103460
271,20,1431334,1.1843300388270437,1.089825005620585,1.2736031402736432,146260
271,20,1431334,1.3842679919390823,1.2736031402736432,1.4883719409532399,205236
271,20,1431334,1.617574337908143,1.4883719409532399,1.73935739051409,291118
271,20,1431334,1.890900693089023,1.73935739051409,2.0326667338262,411666
271,20,1431334,2.209921954922815,2.0326667338262,2.3754370857518157,587822
271,20,1431334,2.582947976861111,2.3754370857518157,2.7760090990142356,850408
271,20,1431334,3.018809745437708,2.7760090990142356,3.2441299178297704,1232966
271,20,1431334,3.5284836928921814,3.2441299178297704,3.7911903557864473,1807960
271,20,1431334,4.123458433884641,3.7911903557864473,4.430502069233829,2675190
271,20,1431334,4.819273568008733,4.430502069233829,5.177621470661636,3992058
271,20,1431334,5.632861940744057,5.177621470661636,6.050728263871968,6002520
271,20,1431334,6.583205724455854,6.050728263871968,7.071067811865475,9090874
271,20,1431334,7.693869034147711,7.071067811865475,8.263468101607344,13879284
271,20,1431334,8.991984364280139,8.263468101607344,9.656943885009541,21308522
271,20,1431334,10.509201984710488,9.656943885009541,11.285402696730158,32894066
271,20,1431334,12.282024422777422,11.285402696730158,13.188469928365798,51051782
271,20,1431334,14.354005507452117,13.188469928365798,15.412453035619656,79648362
271,20,1431334,16.77569936929638,15.412453035619656,18.011468340559496,124712898
271,20,1431334,19.605441617493582,18.011468340559496,21.04875784751639,196099344
271,20,1431334,22.91227408273324,21.04875784751639,24.598228114789016,309200630
271,20,1431334,26.77667359808229,24.598228114789016,28.746248627616342,488811132
271,20,1431334,31.292965667882488,28.746248627616342,33.59375343234238,774603882
271,20,1431334,36.57049523800364,33.59375343234238,39.25869717097048,1229653592
271,20,1431334,42.73822726391986,39.25869717097048,45.87892527895176,1954816832
271,20,1431334,49.946064544508545,45.87892527895176,53.61552818691274,3112275030
271,20,1431334,58.36908467046017,53.61552818691274,62.65676114432542,4960132122
271,20,1431334,68.21218635625016,62.65676114432542,73.22262504643817,7908454434
271,20,1431334,79.71495511741311,73.22262504643817,85.57021973001949,12610783744
271,20,1431334,93.15813240594831,85.57021973001949,100.0,20114205356
271,50,3575764,0.5433076855023954,0.5,0.584315433076528,165846
271,50,3575764,0.6349316398881042,0.584315433076528,0.682849050662821,233302
271,50,3575764,0.7420672908422793,0.682849050662821,0.7979984775278846,329928
271,50,3575764,0.8674538470852569,0.7979984775278846,0.9325656519822317,461082
271,50,3575764,1.0135264295300968,0.9325656519822317,1.089825005620585,648746
271,50,3575764,1.1844783852092315,1.089825005620585,1.2736031402736432,911642
271,50,3575764,1.3843455852234021,1.2736031402736432,1.4883719409532399,1286602
271,50,3575764,1.617893038662479,1.4883719409532399,1.73935739051409,1817500
271,50,3575764,1.8909770745777694,1.73935739051409,2.0326667338262,2582904
271,50,3575764,2.209897236310717,2.0326667338262,2.3754370857518157,3679788
271,50,3575764,2.5827640464509667,2.3754370857518157,2.7760090990142356,5306760
271,50,3575764,3.018677236121922,2.7760090990142356,3.2441299178297704,7702850
271,50,3575764,3.5281297236646147,3.2441299178297704,3.7911903557864473,11286682
271,50,3575764,4.123674371586555,3.7911903557864473,4.430502069233829,16689730
271,50,3575764,4.819515843756008,4.430502069233829,5.177621470661636,24908860
271,50,3575764,5.632805166104672,5.177621470661636,6.050728263871968,37482500
