iz,z,n_ivols,log_Mhalo,phi,bin_idx
iz207,0.495942,300,10.899999999999991,0.1107055137832034,9
iz207,0.495942,300,11.099999999999993,0.0793933911441722,10
iz207,0.495942,300,11.299999999999992,0.0480610276835405,11
iz207,0.495942,300,11.499999999999991,0.0299666970212057,12
iz207,0.495942,300,11.69999999999999,0.019928641733107,13
iz207,0.495942,300,11.89999999999999,0.0118796487708754,14
iz207,0.495942,300,12.099999999999987,0.0077736535318861,15
iz207,0.495942,300,12.299999999999988,0.0047345316515513,16
iz207,0.495942,300,12.499999999999988,0.002963299120053,17
iz207,0.495942,300,12.699999999999989,0.0018418076713651,18
iz207,0.495942,300,12.899999999999986,0.0011045705502069,19
iz207,0.495942,300,13.099999999999984,0.0006507049314579,20
iz207,0.495942,300,13.299999999999985,0.0003817911587636,21
iz207,0.495942,300,13.499999999999984,0.0002042288190076,22
iz207,0.495942,300,13.699999999999983,0.0001094503686553,23
iz207,0.495942,300,13.899999999999984,5.36542413858539e-05,24
iz207,0.495942,300,14.099999999999982,2.4096216191251757e-05,25
iz207,0.495942,300,14.29999999999998,7.710789181200562e-06,26
iz207,0.495942,300,14.49999999999998,3.74830029641694e-06,27
iz207,0.495942,300,14.69999999999998,1.2851315302000935e-06,28
iz207,0.495942,600,9.1,0.0,0
iz207,0.495942,600,9.3,0.3754662232962901,1
iz207,0.495942,600,9.499999999999998,0.2805941189837698,2
iz207,0.495942,600,9.699999999999998,1.4247202144831028,3
iz207,0.495942,600,9.899999999999997,0.7219157830550749,4
iz207,0.495942,600,10.099999999999996,0.7309310878337226,5
iz207,0.495942,600,10.299999999999995,0.4740618891232709,6
iz207,0.495942,600,10.499999999999996,0.2735705003411967,7
iz207,0.495942,600,10.699999999999994,0.2119619373491693,8
iz207,0.495942,600,10.899999999999991,0.1107408013531368,9
iz207,0.495942,600,11.099999999999993,0.0793980497459692,10
iz207,0.495942,600,11.299999999999992,0.0480056063863006,11
iz207,0.495942,600,11.499999999999991,0.0298736856267075,12
iz207,0.495942,600,11.69999999999999,0.0198903019757894,13
iz207,0.495942,600,11.89999999999999,0.0118891801630577,14
iz207,0.495942,600,12.099999999999987,0.0077675491571177,15
iz207,0.495942,600,12.299999999999988,0.0047610910365087,16
iz207,0.495942,600,12.499999999999988,0.0029469136930429,17
iz207,0.495942,600,12.699999999999989,0.0018339897878897,18
iz207,0.495942,600,12.899999999999986,0.0010980377982617,19
iz207,0.495942,600,13.099999999999984,0.0006499017242516,20
iz207,0.495942,600,13.299999999999985,0.0003769719155253,21
iz207,0.495942,600,13.499999999999984,0.0002043359133018,22
iz207,0.495942,600,13.699999999999983,0.0001099858401262,23
iz207,0.495942,600,13.899999999999984,5.4939372916054e-05,24
iz207,0.495942,600,14.099999999999982,2.522070628017684e-05,25
iz207,0.495942,600,14.29999999999998,8.139166357933926e-06,26
iz207,0.495942,600,14.49999999999998,3.427017413866916e-06,27
iz207,0.495942,600,14.69999999999998,1.0709429418334114e-06,28
iz207,0.495942,1000,9.1,0.0,0
iz207,0.495942,1000,9.3,0.3759623697423827,1
iz207,0.495942,1000,9.499999999999998,0.2810564022140416,2
iz207,0.495942,1000,9.699999999999998,1.426335421337405,3
iz207,0.495942,1000,9.899999999999997,0.7232429490957419,4
iz207,0.495942,1000,10.099999999999996,0.7323268370603847,5
iz207,0.495942,1000,10.299999999999995,0.4748369519491346,6
iz207,0.495942,1000,10.499999999999996,0.2741526435055185,7
iz207,0.495942,1000,10.699999999999994,0.2123876800062658,8
iz207,0.495942,1000,10.899999999999991,0.1109209232465237,9
iz207,0.495942,1000,11.099999999999993,0.0796027819081595,10
iz207,0.495942,1000,11.299999999999992,0.0480921599948596,11
iz207,0.495942,1000,11.499999999999991,0.0299828896784863,12
iz207,0.495942,1000,11.69999999999999,0.0198999725905541,13
iz207,0.495942,1000,11.89999999999999,0.0119159965743213,14
iz207,0.495942,1000,12.099999999999987,0.0078078487400189,15
iz207,0.495942,1000,12.299999999999988,0.0047763519734299,16
iz207,0.495942,1000,12.499999999999988,0.0029599149403568,17
iz207,0.495942,1000,12.699999999999989,0.0018356818777378,18
iz207,0.495942,1000,12.899999999999986,0.0011015826193992,19
iz207,0.495942,1000,13.099999999999984,0.0006573447776973,20
iz207,0.495942,1000,13.299999999999985,0.0003829049394231,21
iz207,0.495942,1000,13.499999999999984,0.0002089623868105,22
iz207,0.495942,1000,13.699999999999983,0.0001123204957394,23
iz207,0.495942,1000,13.899999999999984,5.339721507981389e-05,24
iz207,0.495942,1000,14.099999999999982,2.3967703038231743e-05,25
iz207,0.495942,1000,14.29999999999998,8.80315098187064e-06,26
iz207,0.495942,1000,14.49999999999998,3.373470266775245e-06,27
iz207,0.495942,1000,14.69999999999998,9.31720359395068e-07,28
iz207,0.495942,1024,9.1,0.0,0
