iz,z,logMh_center,residual_log10
iz142,,14.699999999999983,-34.62941680360438
iz142,,14.899999999999983,-34.27995840846953
iz155,,10.1,0.37283700564407546
iz155,,10.299999999999999,0.2930450193373096
iz155,,10.499999999999998,0.24620772416640624
iz155,,10.699999999999998,0.2284715905808429
iz155,,10.899999999999997,0.10319197698335296
iz155,,11.099999999999996,0.056382253072052003
iz155,,11.299999999999995,-0.02593001837637753
iz155,,11.499999999999995,-0.12340373744235528
iz155,,11.699999999999994,-0.22314489922085634
iz155,,11.899999999999993,-0.32876362169318835
iz155,,12.099999999999993,-0.35749411412670706
iz155,,12.299999999999992,-0.5311270323064757
iz155,,12.499999999999991,-0.6779125098532737
iz155,,12.69999999999999,-1.477468677344568
iz155,,12.89999999999999,-0.7942994718719656
iz155,,13.099999999999989,-1.0588388536718214
iz155,,13.299999999999988,-36.521617833493636
iz155,,13.499999999999988,-36.29253603776826
iz155,,13.699999999999987,-36.053098673280545
iz155,,13.899999999999986,-35.80158760204041
iz155,,14.099999999999985,-35.53599962222201
iz155,,14.299999999999985,-35.25399917196811
iz155,,14.499999999999984,-34.95286318607454
iz155,,14.699999999999983,-34.62941680360438
iz155,,14.899999999999983,-34.27995840846953
iz176,,10.1,0.4313495334235651
iz176,,10.299999999999999,0.36162317558173873
iz176,,10.499999999999998,0.32846363425559144
iz176,,10.699999999999998,0.31839327846185056
iz176,,10.899999999999997,0.2037437270833236
iz176,,11.099999999999996,0.1841164580663257
iz176,,11.299999999999995,0.08415959719300337
iz176,,11.499999999999995,0.05360861311851754
iz176,,11.699999999999994,-0.017482910697775283
iz176,,11.899999999999993,-0.10691487207683201
iz176,,12.099999999999993,-0.1305658389810758
iz176,,12.299999999999992,-0.2572492826861094
iz176,,12.499999999999991,-0.3626420750746824
iz176,,12.69999999999999,-0.3525299407362681
iz176,,12.89999999999999,-0.33356863334047254
iz176,,13.099999999999989,-0.9339001170635214
iz176,,13.299999999999988,-1.0147302458571574
iz176,,13.499999999999988,-36.29253603776826
iz176,,13.699999999999987,-36.053098673280545
iz176,,13.899999999999986,-35.80158760204041
iz176,,14.099999999999985,-35.53599962222201
iz176,,14.299999999999985,-35.25399917196811
iz176,,14.499999999999984,-34.95286318607454
iz176,,14.699999999999983,-34.62941680360438
iz176,,14.899999999999983,-34.27995840846953
iz207,,10.1,0.4729077271515918
iz207,,10.299999999999999,0.42175773680780965
iz207,,10.499999999999998,0.37860316378479514
iz207,,10.699999999999998,0.3950646158380898
iz207,,10.899999999999997,0.27163062669135235
iz207,,11.099999999999996,0.2766254759729899
iz207,,11.299999999999995,0.18272808793288586
iz207,,11.499999999999995,0.16452155116257994
iz207,,11.699999999999994,0.11911725878233397
iz207,,11.899999999999993,0.04508209726550395
iz207,,12.099999999999993,0.06634048863288822
iz207,,12.299999999999992,-0.11514252094079545
iz207,,12.499999999999991,-0.14643359281101864
iz207,,12.69999999999999,-0.10949189204997359
iz207,,12.89999999999999,-0.1464819899833282
iz207,,13.099999999999989,-0.45677886234385895
iz207,,13.299999999999988,-0.7137002501931763
iz207,,13.499999999999988,-0.7856484501317794
iz207,,13.699999999999987,-0.5462110856440625
iz207,,13.899999999999986,-35.80158760204041
iz207,,14.099999999999985,-35.53599962222201
iz207,,14.299999999999985,-35.25399917196811
iz207,,14.499999999999984,-34.95286318607454
iz207,,14.699999999999983,-34.62941680360438
iz207,,14.899999999999983,-34.27995840846953
