iz,z,Mg_center,median_color,p16,p84
iz105,,-14.897435897435898,-0.15675196,-0.18785811722278595,-0.11435591489076616
iz105,,-14.641025641025642,-0.15784454,-0.18987523019313812,-0.11222228407859802
iz105,,-14.384615384615387,-0.1579582,-0.19124106764793397,-0.1137512144446373
iz105,,-14.128205128205128,-0.15504183,-0.18857990980148315,-0.11325235337018968
iz120,,-23.871794871794872,-0.07465516,-0.11083524197340011,0.007362881302833538
iz120,,-23.615384615384617,-0.08235806,-0.11215722739696503,-0.04880230531096459
iz120,,-23.358974358974358,-0.02761799,-0.0992330437898636,0.07093178778886795
iz120,,-23.102564102564102,0.012959775,-0.13655601859092711,0.11337871521711347
iz120,,-22.846153846153847,0.029159764,-0.07711326181888581,0.16703287482261658
iz120,,-22.58974358974359,0.089787036,-0.017481368705630294,0.1903381824493408
iz120,,-22.333333333333332,0.08542383,-0.027786792367696763,0.19903401434421536
iz120,,-22.076923076923077,0.091252506,-0.00023607461247593162,0.21121089339256285
iz120,,-21.82051282051282,0.072237834,-0.00898993883281946,0.20451350450515746
iz120,,-21.564102564102566,0.061972793,-0.008268393203616142,0.1431457698345185
iz120,,-21.307692307692307,0.041423418,-0.01574135087430477,0.1473943477869034
iz120,,-21.05128205128205,0.040235277,-0.013622907511889935,0.11473995625972748
iz120,,-20.794871794871796,0.030421976,-0.021428966894745827,0.0982779935002327
iz120,,-20.53846153846154,0.023874799,-0.03656634390354156,0.09842038303613662
iz120,,-20.28205128205128,0.0066302503,-0.037821684032678604,0.08942118138074878
iz120,,-20.025641025641026,-0.0052578906,-0.051188873648643496,0.07502464950084686
iz120,,-19.76923076923077,-0.00841596,-0.06553103506565094,0.07075527399778367
iz120,,-19.512820512820515,-0.02118948,-0.07761870622634888,0.06381004750728607
iz120,,-19.256410256410255,-0.024316292,-0.08621093213558197,0.07911924302577969
iz120,,-19.0,-0.02509906,-0.09546448767185212,0.056342635601758936
iz120,,-18.743589743589745,-0.027999707,-0.09546972244977951,0.05705552041530604
iz120,,-18.48717948717949,-0.03783081,-0.10869963586330414,0.06272175878286357
iz120,,-18.23076923076923,-0.053057447,-0.11435384958982467,0.032465974092483516
iz120,,-17.974358974358974,-0.053006355,-0.11903496742248534,0.043565496355295136
iz120,,-17.71794871794872,-0.06736083,-0.12769586384296416,0.02184975534677506
iz120,,-17.461538461538463,-0.07062577,-0.13518858850002288,0.012179465964436592
iz120,,-17.205128205128204,-0.07952067,-0.14090018570423127,-0.007883436903357514
iz120,,-16.94871794871795,-0.0810892,-0.14050194203853608,-0.005467752218246473
iz120,,-16.692307692307693,-0.08743803,-0.14400888800621034,-0.00460363665595651
iz120,,-16.435897435897438,-0.09890648,-0.14541733920574187,-0.022565122991800284
iz120,,-16.17948717948718,-0.10463588,-0.1468118131160736,-0.025947479158639895
iz120,,-15.923076923076923,-0.10579789,-0.15069566130638123,-0.025706595778465274
iz120,,-15.666666666666668,-0.10772532,-0.14935910403728486,-0.02237966433167459
iz120,,-15.410256410256412,-0.110460185,-0.15278378665447234,-0.032942949831485754
iz120,,-15.153846153846153,-0.11257787,-0.15227367997169494,-0.033952989429235456
iz120,,-14.897435897435898,-0.116641976,-0.15208224654197694,-0.040655893981456755
iz120,,-14.641025641025642,-0.119226195,-0.15230853319168092,-0.03577768102288249
iz120,,-14.384615384615387,-0.12037693,-0.15231432616710663,-0.034059174805879736
iz120,,-14.128205128205128,-0.11991796,-0.1549409383535385,-0.03388672530651092
iz142,,-23.871794871794872,-0.004769353,-0.14428052812814712,0.013007490038871763
iz142,,-23.615384615384617,-0.02801141,-0.11035759449005128,0.03918374925851822
iz142,,-23.358974358974358,-0.051897913,-0.14994802713394165,0.0504860903322697
iz142,,-23.102564102564102,0.10643773,-0.029699886441230762,0.2419647306203842
iz142,,-22.846153846153847,0.13781884,-0.015637190639972685,0.2550830364227295
iz142,,-22.58974358974359,0.22621222,0.08788423001766205,0.3001393902301788
iz142,,-22.333333333333332,0.2247822,0.11373265624046326,0.33089446306228637
iz142,,-22.076923076923077,0.25391942,0.11353860199451446,0.33817881941795347
iz142,,-21.82051282051282,0.24638587,0.0941821336746216,0.36541075944900503
iz142,,-21.564102564102566,0.20884365,0.08727854073047638,0.393360435962677
iz142,,-21.307692307692307,0.17949238,0.07238548308610916,0.37000208377838134
iz142,,-21.05128205128205,0.14706206,0.06199085399508476,0.34885565757751463
iz142,,-20.794871794871796,0.1447007,0.0517397902905941,0.34387267827987666
iz142,,-20.53846153846154,0.119234875,0.04230821132659912,0.3072211742401123
iz142,,-20.28205128205128,0.119770184,0.03762312904000283,0.32009556293487545
iz142,,-20.025641025641026,0.11438845,0.019153304398059845,0.3049171566963196
iz142,,-19.76923076923077,0.107787624,0.01771423451602459,0.31296006560325623
iz142,,-19.512820512820515,0.11234915,0.007415970023721456,0.3346927797794342
iz142,,-19.256410256410255,0.09648982,-0.0018575293291360037,0.2961996114253998
iz142,,-19.0,0.09056284,-0.0107846064120531,0.3062715280055996
iz142,,-18.743589743589745,0.073900014,-0.01942916020750999,0.28289932489395136
iz142,,-18.48717948717949,0.06612475,-0.024615069329738615,0.27074574351310726
iz142,,-18.23076923076923,0.0568342,-0.03370467722415924,0.26264523267745976
iz142,,-17.974358974358974,0.048499297,-0.03453340694308281,0.2475389331579208
iz142,,-17.71794871794872,0.038012806,-0.04172038614749909,0.22192703008651732
iz142,,-17.461538461538463,0.030005142,-0.05382532328367234,0.20596811473369572
iz142,,-17.205128205128204,0.018554807,-0.06031132340431213,0.14503444731235493
iz142,,-16.94871794871795,0.013826515,-0.06458307296037674,0.1592031562328338
iz142,,-16.692307692307693,0.004644869,-0.07052628666162492,0.15224544227123255
iz142,,-16.435897435897438,-0.0021464117,-0.07353799164295197,0.14799420297145835
iz142,,-16.17948717948718,-0.009445868,-0.07701128870248794,0.14583120346069317
iz142,,-15.923076923076923,-0.013824414,-0.07777364879846572,0.15334376215934734
iz142,,-15.666666666666668,-0.017353281,-0.08182405680418015,0.14989884912967683
iz142,,-15.410256410256412,-0.018779991,-0.08529122173786163,0.14766830205917358
iz142,,-15.153846153846153,-0.02030373,-0.0870669201016426,0.16657784283161156
iz142,,-14.897435897435898,-0.023960087,-0.08654806017875671,0.1593082600831984
iz142,,-14.641025641025642,-0.028916791,-0.08821328997611999,0.15590210258960724
iz142,,-14.384615384615387,-0.034167767,-0.08739712655544281,0.15636823296546942
iz142,,-14.128205128205128,-0.03458458,-0.09023019134998321,0.15310391724109648
iz155,,-23.871794871794872,-0.01998553,-0.053778977394104005,0.04922228064388035
iz155,,-23.615384615384617,-0.007177524,-0.024387798607349395,0.02477790340781212
iz155,,-23.358974358974358,0.031926926,-0.054846828281879416,0.09870992958545685
iz155,,-23.102564102564102,0.040200893,-0.02456042051315308,0.06723007440567016
iz155,,-22.846153846153847,0.20558397,0.07621515333652495,0.33581679701805117
iz155,,-22.58974358974359,0.26977545,0.15192214488983155,0.35442851901054384
iz155,,-22.333333333333332,0.2737479,0.15402075469493867,0.3635966062545776
iz155,,-22.076923076923077,0.32271034,0.207294762134552,0.4055442214012146
iz155,,-21.82051282051282,0.331872,0.16591333270072936,0.4449027788639068
iz155,,-21.564102564102566,0.31316966,0.13648747146129608,0.43900502562522886
iz155,,-21.307692307692307,0.28747872,0.1285286545753479,0.47489699721336365
iz155,,-21.05128205128205,0.22364093,0.09878357350826264,0.49137461185455317
iz155,,-20.794871794871796,0.23200941,0.10037563592195511,0.4934813916683197
iz155,,-20.53846153846154,0.21105582,0.08514813244342805,0.4909002935886383
iz155,,-20.28205128205128,0.20314617,0.09181654512882233,0.4725998818874359
iz155,,-20.025641025641026,0.19542117,0.09003436118364334,0.46126945614814757
iz155,,-19.76923076923077,0.1913389,0.08164523392915726,0.4592035174369812
iz155,,-19.512820512820515,0.1835358,0.07963446766138077,0.4448012661933899
iz155,,-19.256410256410255,0.16896346,0.055698416233062736,0.435665066242218
iz155,,-19.0,0.15674113,0.05054637789726258,0.44432041645050047
iz155,,-18.743589743589745,0.13914447,0.042916245013475414,0.42467816710472095
iz155,,-18.48717948717949,0.13596328,0.033765641450881956,0.40547622203826905
iz155,,-18.23076923076923,0.12798098,0.023179672062397003,0.4057145881652832
iz155,,-17.974358974358974,0.10729799,0.01629908882081509,0.37733265161514284
iz155,,-17.71794871794872,0.0970828,0.0073915902525186535,0.34732581973075866
iz155,,-17.461538461538463,0.086742274,0.0040376041457056994,0.30886472702026363
iz155,,-17.205128205128204,0.07685131,-0.0009895666269585498,0.31891329407691954
iz155,,-16.94871794871795,0.07180728,-0.0053940175473690035,0.29944611907005303
iz155,,-16.692307692307693,0.064461,-0.009929541423916817,0.2753812503814697
iz155,,-16.435897435897438,0.05786699,-0.015722303912043562,0.2824183988571167
iz155,,-16.17948717948718,0.053540953,-0.020962106212973595,0.2772424733638763
iz155,,-15.923076923076923,0.04489425,-0.01807074509561062,0.27984020590782166
iz155,,-15.666666666666668,0.040040605,-0.02483038045465947,0.26918310403823853
iz155,,-15.410256410256412,0.039345093,-0.028583126887679097,0.27754554748535154
iz155,,-15.153846153846153,0.035852063,-0.034619448333978654,0.27181494235992426
iz155,,-14.897435897435898,0.03142202,-0.03399799704551697,0.2666717779636384
iz155,,-14.641025641025642,0.02644633,-0.03386903554201126,0.27032571434974667
iz155,,-14.384615384615387,0.022208674,-0.033352247178554534,0.2709855771064758
iz155,,-14.128205128205128,0.018613463,-0.0351221077144146,0.26508569717407227
iz176,,-23.871794871794872,-0.08238434,-0.08238434046506882,-0.08238434046506882
iz176,,-23.615384615384617,-0.025775854,-0.11372126936912536,-0.024657345563173293
iz176,,-23.358974358974358,-0.014754584,-0.09009591162204743,-0.0008549060672521586
iz176,,-23.102564102564102,0.10538268,-0.06403317600488663,0.2214590430259705
iz176,,-22.846153846153847,0.19695073,0.040077035874128336,0.34380133628845216
iz176,,-22.58974358974359,0.2723701,0.01293943352997303,0.3338226282596588
