iz,z,logM_center,median_logSFR,p16,p84
iz142,,9.099999999999996,-0.08240701258182526,-2.8347694873809814,0.2519651889801024
iz142,,9.299999999999995,-0.001959096407517791,-2.5490988636016847,0.3909781622886658
iz142,,9.499999999999995,0.037966810166835785,-2.1093609523773194,0.565689616203308
iz142,,9.699999999999994,0.11123383045196533,-1.648216242790222,0.6884961724281311
iz142,,9.899999999999993,0.363785058259964,-0.8735594916343689,0.8412311720848084
iz142,,10.099999999999993,0.5575464963912964,-0.3265464329719543,0.9564950180053711
iz142,,10.299999999999992,0.8341379165649414,0.21991927027702332,1.0837037134170533
iz142,,10.499999999999991,0.9588658213615417,0.4549620425701142,1.178964319229126
iz142,,10.69999999999999,0.7976272702217102,-0.7635271072387696,1.168621802330017
iz142,,10.89999999999999,0.32400456070899963,-2.1749617004394532,1.1315803146362304
iz142,,11.099999999999989,nan,nan,nan
iz142,,11.299999999999988,nan,nan,nan
iz142,,11.499999999999988,nan,nan,nan
iz142,,11.699999999999987,nan,nan,nan
iz142,,11.899999999999986,nan,nan,nan
iz142,,12.099999999999985,nan,nan,nan
iz142,,12.299999999999985,nan,nan,nan
iz155,,8.1,-1.1320631504058838,-4.045900554656982,-0.9135271620750427
iz155,,8.299999999999999,-0.9404841661453247,-3.82771445274353,-0.7048251605033875
iz155,,8.499999999999998,-0.755382239818573,-3.75781286239624,-0.5001752376556396
iz155,,8.699999999999998,-0.6003038287162781,-3.8245974922180177,-0.2999168789386749
iz155,,8.899999999999997,-0.44001275300979614,-3.773005723953247,-0.09177014082670215
iz155,,9.099999999999996,-0.4158640503883362,-3.638571310043335,0.06583568751811966
iz155,,9.299999999999995,-0.3610353171825409,-3.3017225360870364,0.23084248065948487
iz155,,9.499999999999995,-0.5294298529624939,-2.964657049179077,0.41101799607276895
iz155,,9.699999999999994,-0.3999696969985962,-2.465139141082764,0.5841793489456175
iz155,,9.899999999999993,-0.1386406123638153,-1.8454851627349853,0.7703539514541626
iz155,,10.099999999999993,0.15491583943367004,-1.2827573680877686,0.8877650284767151
iz155,,10.299999999999992,0.5205638408660889,-0.46396400690078726,0.9622446799278259
iz155,,10.499999999999991,0.7584646940231323,0.11491686135530475,1.0522448444366455
iz155,,10.69999999999999,0.8516221046447754,-1.3811228895187382,1.1274728727340697
iz155,,10.89999999999999,-1.4369291067123413,-3.3303967761993407,1.1176039743423463
iz155,,11.099999999999989,-4.397314548492432,-4.397314548492432,-4.397314548492432
iz155,,11.299999999999988,nan,nan,nan
iz155,,11.499999999999988,nan,nan,nan
iz155,,11.699999999999987,nan,nan,nan
iz155,,11.899999999999986,nan,nan,nan
iz155,,12.099999999999985,nan,nan,nan
iz155,,12.299999999999985,nan,nan,nan
iz176,,8.1,-1.3609379529953003,-4.5882514953613285,-1.1180273962020875
iz176,,8.299999999999999,-1.1400526762008667,-4.401552658081055,-0.9089075827598572
iz176,,8.499999999999998,-0.9471736550331116,-4.212003765106201,-0.7035844373703003
iz176,,8.699999999999998,-0.7669865489006042,-4.268592987060547,-0.5010295057296752
iz176,,8.899999999999997,-0.658104419708252,-4.231172122955322,-0.3019254553318024
iz176,,9.099999999999996,-0.6282798647880554,-4.093567390441894,-0.12043269455432902
iz176,,9.299999999999995,-1.2519177198410034,-3.9164862728118894,0.06637882560491558
iz176,,9.499999999999995,-1.2732751369476318,-3.6717423820495605,0.2377548420429229
iz176,,9.699999999999994,-1.705885887145996,-3.321502819061279,0.35957623600959776
iz176,,9.899999999999993,-1.328791856765747,-2.8812431144714354,0.5779232668876647
iz176,,10.099999999999993,-0.5312255024909973,-2.2170574283599853,0.7670307064056396
iz176,,10.299999999999992,-0.10792778432369232,-1.458799123764038,0.8472797870635986
iz176,,10.499999999999991,0.36452338099479675,-0.688874328136444,0.9158733010292054
iz176,,10.69999999999999,0.6373438239097595,-0.9071228647232056,0.9862711334228516
iz176,,10.89999999999999,0.3266577124595642,-2.261321840286255,0.9945775556564331
iz176,,11.099999999999989,-1.0889346599578857,-2.482897472381592,0.9828171062469483
iz176,,11.299999999999988,nan,nan,nan
iz176,,11.499999999999988,nan,nan,nan
iz176,,11.699999999999987,nan,nan,nan
iz176,,11.899999999999986,nan,nan,nan
iz176,,12.099999999999985,nan,nan,nan
iz176,,12.299999999999985,nan,nan,nan
