iz,z,n_ivols,group_id,r,xi,bin_idx
iz271,0.0,60,0,2.2857118494444495,1.8237341119718837,9
iz271,0.0,60,1,2.2887591814158825,1.7956593421197309,9
iz271,0.0,60,2,2.2902157211691825,1.790859784243251,9
iz271,0.0,60,3,2.2897411910051195,1.7913165072347819,9
iz271,0.0,60,0,3.177290563417116,1.12495527976678,10
iz271,0.0,60,1,3.1785345952685984,1.1375713860367513,10
iz271,0.0,60,2,3.17491408275106,1.1315761971007339,10
iz271,0.0,60,3,3.1790653108224705,1.1278437745764576,10
iz271,0.0,60,0,4.412768539733563,0.7108345144166355,11
iz271,0.0,60,1,4.412247101217151,0.7141333703551149,11
iz271,0.0,60,2,4.412588878398741,0.7073062337597604,11
iz271,0.0,60,3,4.412427697372005,0.7156616618382818,11
iz271,0.0,60,0,6.126035330728392,0.44568853229928296,12
iz271,0.0,60,1,6.126186124030986,0.444944579696654,12
iz271,0.0,60,2,6.1268044703826625,0.44104753329694546,12
iz271,0.0,60,3,6.12768061738233,0.4488063611506057,12
iz271,0.0,60,0,8.504966272979793,0.2689307424149907,13
iz271,0.0,60,1,8.505382059838007,0.2673403588346328,13
iz271,0.0,60,2,8.506422315012589,0.26671387352812737,13
iz271,0.0,60,3,8.50616221802081,0.2743140403130093,13
iz271,0.0,60,0,11.807323949760184,0.1584882271613135,14
iz271,0.0,60,1,11.807714119444132,0.1597485308869926,14
iz271,0.0,60,2,11.808747582333028,0.15816419081829247,14
iz271,0.0,60,3,11.808092348055826,0.16520973112824433,14
iz271,0.0,60,0,16.387907310600177,0.08931220353592773,15
iz271,0.0,60,1,16.387558311054743,0.08980865265214111,15
iz271,0.0,60,2,16.385836825408756,0.0894824503908318,15
iz271,0.0,60,3,16.385159239838934,0.09061966131182952,15
iz271,0.0,60,0,22.737908699148402,0.046814941513988906,16
iz271,0.0,60,1,22.737556865265898,0.04627664539166654,16
iz271,0.0,60,2,22.737614022392467,0.04555276645266182,16
iz271,0.0,60,3,22.737304391007257,0.04675652126109764,16
iz271,0.0,60,0,31.5454116891437,0.02126371223544643,17
iz271,0.0,60,1,31.547049005535847,0.021171894497339583,17
iz271,0.0,60,2,31.547052231959356,0.021393029907244898,17
iz271,0.0,60,3,31.546835272284465,0.022578238197324962,17
iz271,0.0,60,0,43.76287241544705,0.008400555424724176,18
iz271,0.0,60,1,43.76354948879371,0.009054671353859067,18
iz271,0.0,60,2,43.76363066114084,0.008728172571620396,18
iz271,0.0,60,3,43.76207708547654,0.00958438801302286,18
iz271,0.0,100,0,0.12262531970424542,29.048053351949726,0
iz271,0.0,100,1,0.12355916051444177,30.133560970431887,0
iz271,0.0,100,2,0.12236415108146646,28.449005444494293,0
iz271,0.0,100,3,0.12285556858880722,28.510930839985345,0
iz271,0.0,100,0,0.16720648743929087,30.896727092480248,1
iz271,0.0,100,1,0.167449108455805,35.045638855200366,1
iz271,0.0,100,2,0.1681906808354761,32.49345621695209,1
iz271,0.0,100,3,0.16836528634152353,33.50934787276925,1
iz271,0.0,100,0,0.23262563472933598,29.085616509201518,2
iz271,0.0,100,1,0.23192007021447994,29.127192699073202,2
iz271,0.0,100,2,0.23223494053718813,29.2020431775733,2
iz271,0.0,100,3,0.2301458090321116,27.883401557516535,2
iz271,0.0,100,0,0.32127618981496237,21.754113188081366,3
iz271,0.0,100,1,0.3218289654918505,21.665142485157467,3
iz271,0.0,100,2,0.3212147496290787,20.621173204875276,3
iz271,0.0,100,3,0.32117720388992543,20.626785428896,3
iz271,0.0,100,0,0.4442118316624412,15.325558606461676,4
iz271,0.0,100,1,0.44589220044862343,14.86150731231136,4
iz271,0.0,100,2,0.44406663692343673,15.09470734818467,4
iz271,0.0,100,3,0.44642844254558983,14.964228314595161,4
iz271,0.0,100,0,0.6172522377231703,10.10289505532483,5
iz271,0.0,100,1,0.6173178550852434,10.058704193984408,5
iz271,0.0,100,2,0.6179806641376171,10.034026623928607,5
iz271,0.0,100,3,0.6160354580836043,10.159887255627284,5
iz271,0.0,100,0,0.8564547387220287,6.841055479906251,6
iz271,0.0,100,1,0.8559176807053049,6.76051049913983,6
iz271,0.0,100,2,0.8572796710570233,6.9215213733060015,6
iz271,0.0,100,3,0.8570241366421174,6.751373385692718,6
iz271,0.0,100,0,1.185432296828847,4.472406306918071,7
iz271,0.0,100,1,1.1870388874414202,4.448516366423168,7
iz271,0.0,100,2,1.1877893553575087,4.478278843092316,7
iz271,0.0,100,3,1.1875945694986199,4.368898695032628,7
